x,y,z,gradx,grady
-0.460000,0.290000,0,57.296687,9.913793
-0.460000,0.300000,0,53.675183,9.858563
-0.460000,0.310000,0,50.388303,9.787503
-0.460000,0.320000,0,47.396341,9.702098
-0.460000,0.330000,0,44.665273,9.603780
-0.460000,0.340000,0,42.165807,9.493921
-0.460000,0.350000,0,39.872629,9.373827
-0.460000,0.360000,0,37.763770,9.244734
-0.460000,0.370000,0,35.820094,9.107809
-0.460000,0.380000,0,34.024873,8.964141
-0.460000,0.390000,0,32.363435,8.814752
-0.460000,0.400000,0,30.822866,8.660586
-0.460000,0.410000,0,29.391770,8.502519
-0.460000,0.420000,0,28.060055,8.341357
-0.460000,0.430000,0,26.818763,8.177838
-0.460000,0.440000,0,25.659919,8.012637
-0.460000,0.450000,0,24.576403,7.846367
-0.460000,0.460000,0,23.561848,7.679584
-0.460000,0.470000,0,22.610542,7.512788
-0.460000,0.480000,0,21.717350,7.346428
-0.450000,-0.490000,0,1.125439,-7.316709
-0.450000,-0.480000,0,0.985572,-7.492122
-0.450000,-0.470000,0,0.835386,-7.668862
-0.450000,-0.460000,0,0.674364,-7.846533
-0.450000,-0.450000,0,0.501981,-8.024691
-0.450000,-0.440000,0,0.317711,-8.202834
-0.450000,-0.430000,0,0.121023,-8.380403
-0.450000,-0.420000,0,-0.088604,219.796223
-0.450000,-0.410000,0,-0.311687,225.004719
-0.450000,-0.400000,0,-0.548724,12.824911
-0.450000,-0.390000,0,-0.800196,13.539428
-0.450000,-0.380000,0,-1.066551,3.514613
-0.450000,-0.370000,0,-1.348206,3.805049
-0.450000,-0.360000,0,-1.645529,4.128314
-0.450000,-0.350000,0,-1.958834,4.489172
-0.450000,-0.340000,0,-2.288369,4.893234
-0.450000,-0.330000,0,-2.634307,5.347149
-0.450000,-0.320000,0,-2.996729,5.858825
-0.450000,-0.310000,0,-3.375615,6.437720
-0.450000,-0.300000,0,-3.770828,7.095209
-0.450000,-0.290000,0,-4.182102,7.845047
-0.450000,-0.280000,0,-4.609026,8.703969
-0.450000,-0.270000,0,-5.051031,9.692473
-0.450000,-0.260000,0,-5.507374,10.835834
-0.450000,-0.250000,0,-5.977128,12.165450
-0.450000,-0.240000,0,-6.459167,13.720638
-0.450000,-0.230000,0,-6.952156,15.551048
-0.450000,-0.220000,0,-7.454545,17.719950
-0.450000,-0.210000,0,-7.964560,20.308773
-0.450000,-0.200000,0,-18.078767,23.423423
-0.450000,-0.190000,0,-8.999234,27.203242
-0.450000,-0.180000,0,-9.519222,31.833847
-0.450000,-0.170000,0,-10.037504,37.565868
-0.450000,-0.160000,0,-10.551224,44.742729
-0.450000,-0.150000,0,-11.057352,53.842614
-0.450000,-0.140000,0,-11.552705,65.543071
-0.450000,-0.130000,0,-12.033979,80.822573
-0.450000,-0.120000,0,-12.497788,101.123596
-0.450000,-0.110000,0,-12.940700,128.620255
-0.450000,-0.100000,0,-13.359287,166.666667
-0.450000,-0.090000,0,-13.750175,220.560513
-0.450000,-0.080000,0,-14.110092,298.850575
-0.450000,-0.070000,0,1455.988562,415.525114
-0.450000,-0.060000,0,1692.068514,593.306288
-0.450000,-0.050000,0,1986.885918,866.666667
-0.450000,-0.040000,0,2345.067073,1166.426471
-0.450000,-0.030000,0,2754.220588,1300.250000
-0.450000,-0.020000,0,3167.068478,1223.529412
-0.450000,-0.010000,0,3490.844001,812.500000
-0.450000,0.000000,0,3616.010870,0.000000
-0.450000,0.010000,0,3490.844001,-812.500000
-0.450000,0.020000,0,3167.068478,-1223.529412
-0.450000,0.030000,0,2754.220588,-1218.750000
-0.450000,0.040000,0,2345.067073,-1014.634146
-0.450000,0.050000,0,411.885918,-781.250000
-0.450000,0.060000,0,1692.068514,-585.365854
-0.450000,0.070000,0,1455.988562,-437.500000
-0.450000,0.080000,0,1268.561257,-329.896907
