x,y,xVel,yVel
0.001220,0.564562,0.970611,-0.002035
0.002831,0.565954,0.968271,-0.004685
0.000174,0.567159,0.966317,-0.000285
0.004070,0.568767,0.963613,-0.006635
0.001782,0.574990,0.953689,-0.002812
0.000178,0.572618,0.957469,-0.000285
0.001005,0.573309,0.956362,-0.001600
0.003499,0.576638,0.951062,-0.005474
0.004447,0.578234,0.948547,-0.006899
0.001707,0.575251,0.953279,-0.002691
0.003834,0.584017,0.939729,-0.005773
0.003494,0.583410,0.940654,-0.005278
0.004521,0.581565,0.943421,-0.006895
0.003762,0.586490,0.936031,-0.005595
0.004047,0.585945,0.936832,-0.006034
0.002956,0.585267,0.937875,-0.004423
0.000507,0.590786,0.929763,-0.000738
0.001221,0.590681,0.929912,-0.001777
0.002946,0.590290,0.930455,-0.004296
0.004448,0.599728,0.916977,-0.006185
0.000280,0.599626,0.917186,-0.000390
0.002345,0.596285,0.921855,-0.003318
0.002935,0.600844,0.915467,-0.004059
0.002923,0.602382,0.913349,-0.004011
0.004078,0.604630,0.910253,-0.005534
0.002633,0.607911,0.905870,-0.003515
0.003647,0.606126,0.908242,-0.004913
0.001321,0.608168,0.905544,-0.001762
0.002691,0.610083,0.902984,-0.003555
0.004658,0.611738,0.900761,-0.006103
0.001029,0.612613,0.899682,-0.001342
0.002005,0.616536,0.894603,-0.002566
0.003400,0.618226,0.892426,-0.004316
0.002217,0.616345,0.894845,-0.002840
0.003516,0.621664,0.888095,-0.004390
0.001073,0.623796,0.885480,-0.001326
0.001291,0.623418,0.885947,-0.001598
0.000081,0.629226,0.878860,-0.000097
0.004262,0.628004,0.880283,-0.005162
0.001607,0.628340,0.879921,-0.001944
0.002634,0.634240,0.872874,-0.003097
0.001251,0.631281,0.876392,-0.001492
0.000366,0.632572,0.874862,-0.000434
0.004449,0.638057,0.868391,-0.005138
0.002655,0.639107,0.867216,-0.003051
0.004795,0.638684,0.867660,-0.005521
0.001720,0.641800,0.864152,-0.001952
0.000220,0.640119,0.866074,-0.000251
0.000025,0.642436,0.863439,-0.000029
0.001464,0.648541,0.856623,-0.001611
0.004101,0.647537,0.857692,-0.004531
0.002337,0.645391,0.860104,-0.002608
0.000955,0.652418,0.852400,-0.001032
0.004617,0.650217,0.854739,-0.005038
0.000422,0.651224,0.853695,-0.000458
0.003557,0.658056,0.846360,-0.003744
0.000464,0.659808,0.844553,-0.000485
0.004337,0.655830,0.848699,-0.004612
0.002380,0.663786,0.840422,-0.002441
0.003888,0.660035,0.844280,-0.004056
0.002893,0.663682,0.840523,-0.002969
0.003719,0.669613,0.834506,-0.003715
0.000482,0.668938,0.835211,-0.000483
0.004732,0.665507,0.838625,-0.004816
0.001374,0.671197,0.832956,-0.001364
0.004049,0.670475,0.833640,-0.004030
0.003734,0.671386,0.832741,-0.003701
0.000867,0.679689,0.824690,-0.000828
0.003804,0.675483,0.828716,-0.003703
0.004906,0.679226,0.825083,-0.004696
0.001708,0.683462,0.821110,-0.001605
0.002283,0.682172,0.822321,-0.002157
0.003270,0.681620,0.822832,-0.003098
0.003002,0.685650,0.819052,-0.002794
0.000406,0.686890,0.817919,-0.000376
0.000685,0.688299,0.816618,-0.000630
0.000572,0.694403,0.811076,-0.000513
0.002912,0.691054,0.814083,-0.002647
0.003342,0.692644,0.812637,-0.003017
0.001562,0.699716,0.806366,-0.001368
0.003841,0.695610,0.809970,-0.003423
0.000191,0.697575,0.808255,-0.000169
0.001996,0.701058,0.805192,-0.001738
0.002263,0.700801,0.805414,-0.001973
0.001541,0.702169,0.804230,-0.001336
0.000027,0.708249,0.799033,-0.000023
0.000631,0.707310,0.799827,-0.000535
0.000421,0.708901,0.798483,-0.000354
0.003930,0.713423,0.794684,-0.003246
0.004551,0.714336,0.793923,-0.003745
0.000313,0.710236,0.797362,-0.000262
0.002635,0.715886,0.792675,-0.002155
0.004639,0.715548,0.792927,-0.003799
0.001940,0.717981,0.790975,-0.001572
0.003192,0.723502,0.786541,-0.002528
0.002697,0.722033,0.787713,-0.002149
0.004112,0.722888,0.787016,-0.003265
0.004608,0.726109,0.784469,-0.003611
0.003946,0.726871,0.783882,-0.003083
0.001909,0.725487,0.784985,-0.001500
0.004040,0.731937,0.779966,-0.003091
0.003736,0.734671,0.777889,-0.002827
0.004246,0.734157,0.778272,-0.003219
0.003572,0.738176,0.775259,-0.002664
0.002581,0.738123,0.775307,-0.001925
0.002512,0.737894,0.775479,-0.001876
0.003359,0.740147,0.773797,-0.002485
0.003780,0.742999,0.771695,-0.002764
0.000695,0.740720,0.773390,-0.000513
0.000979,0.748887,0.767458,-0.000700
0.004221,0.748677,0.767585,-0.003018
0.000920,0.748334,0.767854,-0.000659
0.001565,0.750528,0.766288,-0.001110
0.004442,0.750511,0.766276,-0.003152
0.002399,0.751352,0.765700,-0.001697
0.000999,0.756439,0.762145,-0.000692
0.003288,0.759735,0.759862,-0.002249
0.001110,0.757535,0.761387,-0.000766
0.003892,0.764682,0.756505,-0.002611
0.000711,0.761473,0.758691,-0.000483
0.002805,0.763223,0.757496,-0.001893
0.004367,0.766164,0.755508,-0.002913
0.003370,0.768147,0.754201,-0.002230
0.004163,0.769065,0.753587,-0.002745
0.003867,0.770142,0.752881,-0.002539
0.002952,0.773088,0.750966,-0.001917
0.003819,0.773872,0.750450,-0.002472
0.001421,0.775384,0.749490,-0.000915
0.004400,0.775864,0.749160,-0.002826
0.000895,0.776799,0.748583,-0.000573
0.002215,0.781894,0.745350,-0.001390
0.003238,0.780503,0.746218,-0.002043
0.001629,0.784347,0.743820,-0.001013
0.003038,0.785521,0.743084,-0.001880
0.004029,0.788749,0.741090,-0.002463
0.001994,0.786834,0.742280,-0.001228
0.001971,0.791361,0.739516,-0.001193
0.002998,0.790341,0.740128,-0.001822
0.004508,0.792161,0.739013,-0.002720
0.004406,0.798374,0.735309,-0.002597
0.002303,0.797358,0.735925,-0.001363
0.001462,0.796122,0.736661,-0.000869
0.001230,0.802884,0.732693,-0.000713
0.001506,0.800630,0.734004,-0.000880
0.003747,0.802401,0.732959,-0.002176
0.002429,0.805962,0.730914,-0.001392
0.004294,0.805667,0.731070,-0.002463
0.001466,0.805923,0.730940,-0.000840
0.000014,0.814504,0.726102,-0.000008
0.001444,0.814043,0.726356,-0.000803
0.003252,0.813438,0.726685,-0.001813
0.000877,0.815224,0.725702,-0.000486
0.004799,0.818875,0.723672,-0.002622
0.000565,0.819306,0.723459,-0.000308
0.001036,0.824971,0.720400,-0.000554
0.002681,0.823340,0.721268,-0.001441
0.002329,0.824143,0.720839,-0.001248
0.004462,0.828560,0.718477,-0.002353
0.002026,0.825967,0.719866,-0.001079
0.004190,0.825774,0.719956,-0.002232
0.003368,0.831619,0.716881,-0.001757
0.001736,0.832663,0.716345,-0.000902
0.002286,0.833202,0.716063,-0.001186
0.003585,0.837300,0.713946,-0.001832
0.002706,0.835029,0.715117,-0.001394
0.001343,0.835958,0.714644,-0.000690
0.003467,0.842220,0.711455,-0.001741
0.001182,0.843265,0.710941,-0.000591
0.001096,0.841747,0.711703,-0.000551
0.002572,0.847132,0.709015,-0.001269
0.001718,0.845252,0.709949,-0.000853
0.000472,0.849047,0.708079,-0.000231
0.004395,0.854933,0.705207,-0.002110
0.002606,0.851421,0.706914,-0.001267
0.000901,0.851796,0.706737,-0.000437
0.002195,0.859269,0.703154,-0.001038
0.003415,0.858931,0.703308,-0.001617
0.001931,0.855702,0.704852,-0.000925
0.002133,0.860517,0.702565,-0.001004
0.003002,0.864838,0.700542,-0.001392
0.000546,0.864345,0.700778,-0.000254
0.000797,0.869013,0.698627,-0.000364
0.001566,0.866978,0.699559,-0.000721
0.002278,0.867662,0.699242,-0.001046
0.003725,0.874850,0.695975,-0.001669
0.004794,0.870443,0.697957,-0.002180
0.000103,0.870265,0.698056,-0.000047
0.004489,0.879498,0.693905,-0.001980
0.000199,0.877096,0.694983,-0.000088
0.000919,0.876099,0.695426,-0.000410
0.003892,0.883114,0.692324,-0.001695
0.000368,0.882307,0.692686,-0.000161
0.002045,0.882300,0.692687,-0.000893
0.003009,0.889178,0.689714,-0.001284
0.002817,0.886011,0.691073,-0.001215
0.004016,0.888363,0.690057,-0.001718
0.000357,0.894813,0.687338,-0.000149
0.002376,0.891923,0.688551,-0.001004
0.001791,0.894654,0.687403,-0.000750
0.004584,0.895516,0.687030,-0.001915
0.004504,0.899378,0.685427,-0.001857
0.000959,0.899607,0.685346,-0.000395
0.004643,0.900448,0.684986,-0.001908
0.004105,0.904842,0.683197,-0.001662
0.002544,0.900024,0.685171,-0.001047
0.000941,0.906436,0.682564,-0.000379
0.003138,0.906309,0.682609,-0.001264
0.003743,0.905182,0.683061,-0.001514
0.003609,0.911753,0.680433,-0.001428
0.004360,0.911426,0.680559,-0.001728
0.002764,0.913376,0.679796,-0.001088
0.004789,0.918120,0.677933,-0.001856
0.003189,0.917164,0.678312,-0.001240
0.000043,0.919980,0.677229,-0.000017
0.001819,0.924627,0.675450,-0.000690
0.000496,0.921323,0.676712,-0.000190
0.004005,0.921455,0.676652,-0.001536
0.000930,0.928649,0.673935,-0.000348
0.001904,0.925035,0.675295,-0.000721
0.003490,0.929448,0.673629,-0.001304
0.000058,0.934432,0.671789,-0.000021
0.000884,0.933196,0.672244,-0.000326
0.000741,0.934627,0.671717,-0.000272
0.003378,0.939350,0.669988,-0.001223
0.001379,0.937739,0.670579,-0.000502
0.000776,0.939143,0.670070,-0.000281
0.001115,0.940565,0.669556,-0.000402
0.002263,0.944304,0.668213,-0.000806
0.002729,0.942306,0.668926,-0.000978
0.004284,0.949548,0.666353,-0.001501
0.001933,0.949781,0.666280,-0.000677
0.000871,0.945938,0.667635,-0.000309
0.001236,0.951801,0.665576,-0.000430
0.004587,0.953139,0.665100,-0.001589
0.001836,0.953077,0.665132,-0.000636
0.002587,0.956894,0.663815,-0.000886
0.002509,0.958470,0.663277,-0.000855
0.000090,0.958250,0.663355,-0.000031
0.003097,0.963468,0.661586,-0.001039
0.002601,0.964477,0.661249,-0.000870
0.001207,0.963377,0.661621,-0.000405
0.003620,0.967322,0.660299,-0.001200
0.003941,0.965883,0.660776,-0.001312
0.001626,0.966670,0.660521,-0.000540
0.003190,0.970910,0.659118,-0.001045
0.001218,0.970123,0.659381,-0.000400
0.000691,0.972088,0.658737,-0.000226
0.001061,0.976926,0.657169,-0.000341
0.003889,0.975648,0.657574,-0.001256
0.000066,0.975725,0.657557,-0.000021
0.003726,0.982653,0.655336,-0.001178
0.002619,0.981235,0.655789,-0.000832
0.001123,0.982709,0.655324,-0.000355
0.004485,0.989221,0.653277,-0.001390
0.001177,0.987086,0.653950,-0.000367
0.003697,0.987384,0.653851,-0.001152
0.000462,0.992317,0.652332,-0.000142
0.004706,0.994404,0.651683,-0.001436
0.003200,0.991332,0.652630,-0.000986
0.001074,0.996390,0.651088,-0.000326
0.002242,0.997291,0.650814,-0.000678
0.001513,0.997933,0.650621,-0.000457
0.009380,0.002574,-1362.920387,-809.342139
0.009859,0.003269,-1114.448730,-830.635186
0.008223,0.004925,-770.115843,-1439.541569
0.008994,0.006948,-292.649889,-1123.715683
0.007578,0.006612,-200.367346,-1469.385057
0.008183,0.008701,64.900048,-1049.393256
0.009321,0.012669,180.940876,-578.902550
0.007921,0.010498,238.481485,-833.959914
0.009754,0.011619,113.345861,-641.920381
0.007882,0.015217,295.141307,-417.194799
0.008936,0.017589,227.757207,-311.261107
0.009621,0.017136,202.736034,-331.579013
0.008921,0.020694,203.301610,-214.749984
0.008526,0.021163,208.163501,-199.762270
0.007986,0.020039,234.495754,-221.696172
0.009096,0.027365,144.989528,-107.977954
0.007614,0.028955,146.202548,-82.316965
0.005634,0.025836,195.539369,-89.310329
0.008879,0.034628,103.394648,-56.484442
0.007785,0.031457,126.851733,-66.614610
0.006240,0.030968,139.080645,-58.209452
0.005158,0.035561,111.885676,-33.007046
0.008636,0.038079,89.258140,-42.443684
0.006059,0.038391,94.974099,-30.581995
0.009698,0.043941,67.696071,-31.180432
0.008608,0.043634,70.651681,-28.798255
0.006530,0.043228,75.478179,-23.180949
0.005771,0.045451,69.693071,-17.858280
0.008922,0.049297,56.473708,-20.947910
0.006613,0.046908,64.736419,-18.480496
0.009337,0.050709,53.221239,-20.095464
0.009273,0.051950,51.036898,-18.635697
0.009664,0.054907,45.859666,-16.476816
0.007786,0.058543,42.010471,-11.240961
0.009535,0.055571,44.985246,-15.728515
0.005000,0.055775,47.571715,-8.508408
